Timestamp,Temp_Outdoor,Temp_Exhaust_Air,Temp_Vented_Air,Temp_Indoor,Temp_HW_Top,Power_Compressor_kW,Compressor_Hz,Defrosting_Time_s,Degree_Minutes,L1_Current_A,L2_Current_A,L3_Current_A,Air_Flow_m3h,Radiator_Supply_T,Radiator_Return_T,Floor_Supply_T,Floor_Return_T,Power_Heater_kW,Electricity_Price_SEK_kWh,Power_Compressor_W,Total_Power_W,Air_Thermal_Gain,Harvested_Heat_W,Cost_Per_Minute_SEK
2026-02-01 13:16:00+00:00,,,,,,,,,,,,,,,,,,,1.0414,,0.0,,,0.0
2026-02-01 13:31:00+00:00,,,,,,,,,,,,,,,,,,,1.05346,,0.0,,,0.0
2026-02-01 13:46:00+00:00,,,,,,,,,,,,,,,,,,,1.06732,,0.0,,,0.0
2026-02-01 14:01:00+00:00,,,,,,,,,,,,,,,,,,,1.05706,,0.0,,,0.0
2026-02-01 14:16:00+00:00,,,,,,,,,,,,,,,,,,,1.10848,,0.0,,,0.0
2026-02-01 14:31:00+00:00,,,,,,,,,,,,,,,,,,,1.14096,,0.0,,,0.0
2026-02-01 14:46:00+00:00,,,,,,,,,,,,,,,,,,,1.16286,,0.0,,,0.0
2026-02-01 15:01:00+00:00,,,,,,,,,,,,,,,,,,,1.1108,,0.0,,,0.0
2026-02-01 15:16:00+00:00,,,,,,,,,,,,,,,,,,,1.15259,,0.0,,,0.0
2026-02-01 15:31:00+00:00,,,,,,,,,,,,,,,,,,,1.19661,,0.0,,,0.0
2026-02-01 15:46:00+00:00,,,,,,,,,,,,,,,,,,,1.27691,,0.0,,,0.0
2026-02-01 16:01:00+00:00,,,,,,,,,,,,,,,,,,,1.26823,,0.0,,,0.0
2026-02-01 16:16:00+00:00,,,,,,,,,,,,,,,,,,,1.24009,,0.0,,,0.0
2026-02-01 16:31:00+00:00,,,,,,,,,,,,,,,,,,,1.19544,,0.0,,,0.0
2026-02-01 16:46:00+00:00,,,,,,,,,,,,,,,,,,,1.16973,,0.0,,,0.0
