Avläst elanvändning per timme;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;
;;
Anläggningsadress:;Nybyn Björkö;
2025-05-02 20:00;1,356;8,8
2025-05-02 21:00;1,627;6,1
2025-05-02 22:00;0,998;5,8
2025-05-02 23:00;1,442;7,8
2025-05-03 00:00;1,339;6,9
2025-05-03 01:00;1,035;6,9
2025-05-03 02:00;1,603;7
2025-05-03 03:00;0,848;6,6
2025-05-03 04:00;1,522;6,6
2025-05-03 05:00;1,031;6,2
2025-05-03 06:00;1,241;6,1
2025-05-03 07:00;1,263;6,3
2025-05-03 08:00;0,663;6,7
2025-05-03 09:00;0,456;7,6
2025-05-03 10:00;0,496;8,9
2025-05-03 11:00;0,505;9,5
2025-05-03 12:00;0,438;10,7
2025-05-03 13:00;0,635;9,4
2025-05-03 14:00;0,656;8,3
2025-05-03 15:00;0,486;8,7
2025-05-03 16:00;0,529;8,9
2025-05-03 17:00;0,548;8,9
2025-05-03 18:00;0,44;8,1
2025-05-03 19:00;0,649;7,7
2025-05-03 20:00;0,879;7,4
2025-05-03 21:00;0,968;6,3
2025-05-03 22:00;1,181;6,4
2025-05-03 23:00;0,814;6,2
2025-05-04 00:00;0,804;5,9
2025-05-04 01:00;0,967;6
2025-05-04 02:00;0,988;5,7
2025-05-04 03:00;1,517;5,8
2025-05-04 04:00;0,972;5,7
2025-05-04 05:00;0,801;5,2
2025-05-04 06:00;0,979;4,8
2025-05-04 07:00;0,779;4,7
2025-05-04 08:00;0,803;4,6
2025-05-04 09:00;0,765;4,5
2025-05-04 10:00;0,876;4,4
2025-05-04 11:00;0,928;4,2
2025-05-04 12:00;0,747;3,8
2025-05-04 13:00;0,81;4,5
2025-05-04 14:00;0,784;4
2025-05-04 15:00;0,913;3,8
2025-05-04 16:00;0,845;4
2025-05-04 17:00;0,843;3,9
2025-05-04 18:00;0,672;4,5
2025-05-04 19:00;1,391;4,3
2025-05-04 20:00;2,094;4
2025-05-04 21:00;0,83;3,7
2025-05-04 22:00;1,708;3,7
2025-05-04 23:00;1,301;4,1
2025-05-05 00:00;1,148;3,9
2025-05-05 01:00;1,62;3,9
2025-05-05 02:00;0,972;3,8
2025-05-05 03:00;1,82;3,9
2025-05-05 04:00;1,018;4,4
2025-05-05 05:00;1,672;3,8
2025-05-05 06:00;1,496;4,1
2025-05-05 07:00;3,112;4,3
2025-05-05 08:00;0,947;4,4
2025-05-05 09:00;0,646;4,4
2025-05-05 10:00;0,664;4,6
2025-05-05 11:00;0,544;5,6
2025-05-05 12:00;0,651;6,2
2025-05-05 13:00;0,873;6
2025-05-05 14:00;0,692;6
2025-05-05 15:00;0,532;6,2
2025-05-05 16:00;0,419;6,2
2025-05-05 17:00;0,599;6,6
2025-05-05 18:00;0,433;8,5
2025-05-05 19:00;0,701;8,6
2025-05-05 20:00;0,709;8,4
2025-05-05 21:00;0,615;7,5
2025-05-05 22:00;0,944;7,7
2025-05-05 23:00;0,737;7,9
2025-05-06 00:00;0,809;6,4
2025-05-06 01:00;0,863;6,8
2025-05-06 02:00;0,955;6,8
2025-05-06 03:00;1,222;6,1
2025-05-06 04:00;1,44;6,1
2025-05-06 05:00;0,999;5,7
2025-05-06 06:00;0,802;5,3
2025-05-06 07:00;1,095;4,8
2025-05-06 08:00;1,177;4
2025-05-06 09:00;1,082;4,1
2025-05-06 10:00;0,869;4,6
2025-05-06 11:00;0,893;4,1
2025-05-06 12:00;1,036;4,5
2025-05-06 13:00;0,819;4,3
2025-05-06 14:00;0,873;4,8
2025-05-06 15:00;1,167;4,6
2025-05-06 16:00;0,669;4,5
2025-05-06 17:00;0,831;4,3
2025-05-06 18:00;0,65;4,5
2025-05-06 19:00;1,602;4,5
2025-05-06 20:00;1,926;4,1
2025-05-06 21:00;1,258;3,8
2025-05-06 22:00;1,277;3,7
2025-05-06 23:00;1,721;3,7
2025-05-07 00:00;0,986;3,6
2025-05-07 01:00;1,83;3,4
2025-05-07 02:00;0,84;3,3
2025-05-07 03:00;1,406;3,3
2025-05-07 04:00;1,473;3,4
2025-05-07 05:00;1,164;3,3
2025-05-07 06:00;1,411;3,5
2025-05-07 07:00;1,287;3,6
2025-05-07 08:00;1,828;4
2025-05-07 09:00;0,883;4,4
2025-05-07 10:00;0,924;4,3
2025-05-07 11:00;0,787;5,3
2025-05-07 12:00;0,806;5,1
2025-05-07 13:00;1,02;4,5
2025-05-07 14:00;0,956;4,8
2025-05-07 15:00;0,641;5,1
2025-05-07 16:00;0,597;4,9
2025-05-07 17:00;0,603;5
2025-05-07 18:00;0,573;5,6
2025-05-07 19:00;0,859;5,1
2025-05-07 20:00;1,316;4,7
2025-05-07 21:00;1,286;4,7
2025-05-07 22:00;1,112;4,9
2025-05-07 23:00;1,162;5,1
2025-05-08 00:00;1,114;5,2
2025-05-08 01:00;0,73;4,9
2025-05-08 02:00;1,573;4,7
2025-05-08 03:00;0,842;4,7
2025-05-08 04:00;2,086;4,6
2025-05-08 05:00;0,98;4,8
2025-05-08 06:00;0,996;5,3
2025-05-08 07:00;1,313;5,3
2025-05-08 08:00;1,062;4,8
2025-05-08 09:00;1,078;4,8
2025-05-08 10:00;0,714;5,8
2025-05-08 11:00;0,695;5,9
2025-05-08 12:00;0,682;5,8
2025-05-08 13:00;0,685;5,8
2025-05-08 14:00;0,975;5,8
2025-05-08 15:00;0,666;6
2025-05-08 16:00;0,665;5,7
2025-05-08 17:00;0,719;4,9
2025-05-08 18:00;0,688;4,2
2025-05-08 19:00;1,123;4,3
2025-05-08 20:00;0,934;4,5
2025-05-08 21:00;0,997;4,6
2025-05-08 22:00;0,901;4,7
2025-05-08 23:00;0,8;4,5
2025-05-09 00:00;2,901;4,5
2025-05-09 01:00;1,344;4,6
2025-05-09 02:00;1,386;4,5
2025-05-09 03:00;1,046;4,6
2025-05-09 04:00;1,18;4,6
2025-05-09 05:00;1,207;4,6
2025-05-09 06:00;0,973;4,6
2025-05-09 07:00;1,013;4,5
2025-05-09 08:00;1,02;4,2
2025-05-09 09:00;1,236;3,2
2025-05-09 10:00;0,816;3,3
2025-05-09 11:00;0,764;3,4
2025-05-09 12:00;0,764;3,6
2025-05-09 13:00;0,737;3,5
2025-05-09 14:00;1,019;4,1
2025-05-09 15:00;0,682;3,9
2025-05-09 16:00;0,7;3,8
2025-05-09 17:00;0,665;4,2
2025-05-09 18:00;0,687;4,2
2025-05-09 19:00;0,967;4,1
2025-05-09 20:00;2,521;4
2025-05-09 21:00;1,913;3,9
2025-05-09 22:00;1,683;3,8
2025-05-09 23:00;1,065;3,8
2025-05-10 00:00;1,16;3,7
2025-05-10 01:00;1,526;3,5
2025-05-10 02:00;1,258;3,6
2025-05-10 03:00;2,834;3,6
2025-05-10 04:00;3,42;3,9
2025-05-10 05:00;3,734;4,2
2025-05-10 06:00;3,004;4,4
2025-05-10 07:00;2,634;5
2025-05-10 08:00;2,599;5,1
2025-05-10 09:00;1,577;5,5
2025-05-10 10:00;1,697;5,5
2025-05-10 11:00;1,878;6
2025-05-10 12:00;2,035;6,1
2025-05-10 13:00;1,369;6,4
2025-05-10 14:00;1,453;6,1
2025-05-10 15:00;1,521;6,9
2025-05-10 16:00;1,234;6,2
2025-05-10 17:00;2,021;5,9
2025-05-10 18:00;2,512;5,9
2025-05-10 19:00;1,571;5,9
2025-05-10 20:00;1,663;5,3
2025-05-10 21:00;1,898;4,9
2025-05-10 22:00;1,433;4,7
2025-05-10 23:00;1,617;4,6
2025-05-11 00:00;0,954;4,4
2025-05-11 01:00;1,429;4,5
2025-05-11 02:00;2,012;4,2
2025-05-11 03:00;1,235;4,2
2025-05-11 04:00;2,102;4,4
2025-05-11 05:00;3,453;4,3
2025-05-11 06:00;1,548;4,7
2025-05-11 07:00;1,322;5,1
2025-05-11 08:00;1,357;5,4
2025-05-11 09:00;1,376;6,1
2025-05-11 10:00;1,294;6,6
2025-05-11 11:00;1,46;6,9
2025-05-11 12:00;1,85;6,8
2025-05-11 13:00;2,272;7,6
2025-05-11 14:00;2,141;7,5
2025-05-11 15:00;2,561;7,6
2025-05-11 16:00;0,964;8
2025-05-11 17:00;1,063;7,8
2025-05-11 18:00;1,234;7,2
2025-05-11 19:00;1,286;7,1
2025-05-11 20:00;1,297;6,3
2025-05-11 21:00;1,941;5,8
2025-05-11 22:00;2,011;5,6
2025-05-11 23:00;1,531;5,3
2025-05-12 00:00;1,187;5,4
2025-05-12 01:00;1,765;5,2
2025-05-12 02:00;0,942;5,2
2025-05-12 03:00;2,329;5,1
2025-05-12 04:00;1,421;4,9
2025-05-12 05:00;3,616;5,3
2025-05-12 06:00;1,488;6
2025-05-12 07:00;1,194;6,4
2025-05-12 08:00;0,963;7,6
2025-05-12 09:00;0,874;8,2
2025-05-12 10:00;0,924;8,7
2025-05-12 11:00;1,304;10
2025-05-12 12:00;1,376;9,3
2025-05-12 13:00;0,893;10,8
2025-05-12 14:00;1,359;10,8
2025-05-12 15:00;1,674;10,7
2025-05-12 16:00;0,97;10,3
2025-05-12 17:00;0,982;10,1
2025-05-12 18:00;0,851;9,9
2025-05-12 19:00;0,958;9,8
2025-05-12 20:00;2,069;8,9
2025-05-12 21:00;1,216;8
2025-05-12 22:00;0,84;7,7
2025-05-12 23:00;0,688;7,4
2025-05-13 00:00;1,004;6,8
2025-05-13 01:00;1,597;7,1
2025-05-13 02:00;0,861;6,4
2025-05-13 03:00;1,084;6,2
2025-05-13 04:00;0,706;6,1
2025-05-13 05:00;1,111;6,3
2025-05-13 06:00;1,216;6,6
2025-05-13 07:00;1,214;7,1
2025-05-13 08:00;2,231;6,7
2025-05-13 09:00;1,634;7,1
2025-05-13 10:00;0,44;7,4
2025-05-13 11:00;0,426;7,8
2025-05-13 12:00;0,426;8,4
2025-05-13 13:00;0,619;9,2
2025-05-13 14:00;0,428;9,6
2025-05-13 15:00;0,422;9,5
2025-05-13 16:00;0,462;8,8
2025-05-13 17:00;0,425;8,5
2025-05-13 18:00;0,596;8
2025-05-13 19:00;0,61;7,7
2025-05-13 20:00;0,612;7,6
2025-05-13 21:00;0,629;7,6
2025-05-13 22:00;0,521;7,7
2025-05-13 23:00;0,726;8
2025-05-14 00:00;0,466;7,8
2025-05-14 01:00;0,425;7,6
2025-05-14 02:00;0,816;8,4
2025-05-14 03:00;1,201;7,4
2025-05-14 04:00;0,989;6,8
2025-05-14 05:00;0,849;6,4
2025-05-14 06:00;0,749;6
2025-05-14 07:00;0,871;5,7
2025-05-14 08:00;0,882;5,9
2025-05-14 09:00;0,898;5,8
2025-05-14 10:00;0,676;6
2025-05-14 11:00;0,696;6,2
2025-05-14 12:00;0,572;6,6
2025-05-14 13:00;0,575;7
2025-05-14 14:00;0,789;7,1
2025-05-14 15:00;0,54;6,2
2025-05-14 16:00;0,577;6,4
2025-05-14 17:00;0,46;5,9
2025-05-14 18:00;0,838;5,7
2025-05-14 19:00;1,212;5,9
2025-05-14 20:00;1,066;5,4
2025-05-14 21:00;1,602;5,1
2025-05-14 22:00;1,063;5,1
2025-05-14 23:00;0,96;5
2025-05-15 00:00;1,016;5
2025-05-15 01:00;0,839;5,1
2025-05-15 02:00;0,831;5,1
2025-05-15 03:00;0,821;6,1
2025-05-15 04:00;0,826;6,1
2025-05-15 05:00;1,002;6,3
2025-05-15 06:00;1,315;6,2
2025-05-15 07:00;1,345;6
2025-05-15 08:00;0,925;5,9
2025-05-15 09:00;0,836;5,8
2025-05-15 10:00;0,839;5,7
2025-05-15 11:00;0,678;5,9
2025-05-15 12:00;0,681;6
2025-05-15 13:00;0,693;6,4
2025-05-15 14:00;0,954;6,5
2025-05-15 15:00;0,555;7
2025-05-15 16:00;0,464;7,4
2025-05-15 17:00;0,874;7
2025-05-15 18:00;0,422;7,5
2025-05-15 19:00;0,608;7,4
2025-05-15 20:00;0,763;6,9
2025-05-15 21:00;0,805;7
2025-05-15 22:00;1,176;6,7
2025-05-15 23:00;0,847;6,4
2025-05-16 00:00;0,873;6,2
2025-05-16 01:00;0,927;6,3
2025-05-16 02:00;0,829;6,2
2025-05-16 03:00;1,316;6,1
2025-05-16 04:00;1,2;6,1
2025-05-16 05:00;1,005;6,3
2025-05-16 06:00;0,859;6,3
2025-05-16 07:00;0,946;6,4
2025-05-16 08:00;0,884;6,6
2025-05-16 09:00;0,759;7
2025-05-16 10:00;0,614;7,2
2025-05-16 11:00;0,624;7,5
2025-05-16 12:00;0,621;7,5
2025-05-16 13:00;0,486;7,1
2025-05-16 14:00;0,555;7,3
2025-05-16 15:00;0,889;7,3
2025-05-16 16:00;0,45;7,3
2025-05-16 17:00;0,405;7,7
2025-05-16 18:00;0,436;7,8
2025-05-16 19:00;0,476;7,4
2025-05-16 20:00;0,895;7,3
2025-05-16 21:00;0,903;7,3
2025-05-16 22:00;1,436;7,3
2025-05-16 23:00;0,975;7
2025-05-17 00:00;0,67;6,8
2025-05-17 01:00;0,766;6,5
2025-05-17 02:00;0,676;6,6
2025-05-17 03:00;0,865;6
2025-05-17 04:00;0,862;6
2025-05-17 05:00;0,768;5,9
2025-05-17 06:00;0,986;5,9
2025-05-17 07:00;0,797;6,3
2025-05-17 08:00;0,723;6
2025-05-17 09:00;0,695;5,7
2025-05-17 10:00;0,69;5,9
2025-05-17 11:00;0,884;5,9
2025-05-17 12:00;0,729;6
2025-05-17 13:00;0,753;6,3
2025-05-17 14:00;0,782;6,9
2025-05-17 15:00;1,075;6,7
2025-05-17 16:00;1,114;6,5
2025-05-17 17:00;0,679;6,3
2025-05-17 18:00;0,806;6
2025-05-17 19:00;0,715;5,9
2025-05-17 20:00;0,843;5,8
2025-05-17 21:00;1,01;5,5
2025-05-17 22:00;0,812;5,4
2025-05-17 23:00;0,773;5,3
2025-05-18 00:00;0,803;5,5
2025-05-18 01:00;1,496;5,5
2025-05-18 02:00;1,482;5,9
2025-05-18 03:00;1,352;5,5
2025-05-18 04:00;0,975;5,7
2025-05-18 05:00;1,513;5,7
2025-05-18 06:00;0,736;6,3
2025-05-18 07:00;1,139;6,5
2025-05-18 08:00;0,818;6,6
2025-05-18 09:00;0,638;6,6
2025-05-18 10:00;0,547;7
2025-05-18 11:00;0,67;7,5
2025-05-18 12:00;0,662;7,7
2025-05-18 13:00;0,531;7,9
2025-05-18 14:00;0,528;8
2025-05-18 15:00;0,635;7,6
2025-05-18 16:00;0,429;7,2
2025-05-18 17:00;0,591;7,1
2025-05-18 18:00;0,804;7,4
2025-05-18 19:00;0,692;7
2025-05-18 20:00;0,787;6,8
2025-05-18 21:00;1,249;6,5
2025-05-18 22:00;1,128;6,5
2025-05-18 23:00;0,859;6,7
2025-05-19 00:00;0,773;6,7
2025-05-19 01:00;0,767;6,4
2025-05-19 02:00;0,808;6,4
2025-05-19 03:00;1,113;6,3
2025-05-19 04:00;1,209;6,2
2025-05-19 05:00;0,826;6,3
2025-05-19 06:00;0,729;6
2025-05-19 07:00;0,864;6
2025-05-19 08:00;1,008;6,4
2025-05-19 09:00;0,649;6,8
2025-05-19 10:00;0,548;7,2
2025-05-19 11:00;0,425;7,3
2025-05-19 12:00;0,537;7,3
2025-05-19 13:00;0,504;8,9
2025-05-19 14:00;0,452;9,2
2025-05-19 15:00;0,435;8,4
2025-05-19 16:00;0,414;8,3
2025-05-19 17:00;0,541;9,2
2025-05-19 18:00;0,522;9,5
2025-05-19 19:00;0,441;10,5
2025-05-19 20:00;0,998;9,2
2025-05-19 21:00;0,662;10,3
2025-05-19 22:00;0,589;10
2025-05-19 23:00;0,555;9,6
2025-05-20 00:00;0,565;8,8
2025-05-20 01:00;0,45;8,9
2025-05-20 02:00;0,438;10
2025-05-20 03:00;0,572;8,8
2025-05-20 04:00;0,461;8,1
2025-05-20 05:00;0,553;7,7
2025-05-20 06:00;0,51;7,6
2025-05-20 07:00;0,633;8
2025-05-20 08:00;0,597;7,8
2025-05-20 09:00;0,684;7,9
2025-05-20 10:00;0,447;8
2025-05-20 11:00;0,439;8,2
2025-05-20 12:00;0,43;8,1
2025-05-20 13:00;0,542;8,6
2025-05-20 14:00;1,029;8,8
2025-05-20 15:00;0,407;8,5
2025-05-20 16:00;0,448;7,9
2025-05-20 17:00;0,439;8,3
2025-05-20 18:00;0,446;8,5
2025-05-20 19:00;0,596;8,2
2025-05-20 20:00;0,621;8
2025-05-20 21:00;0,699;7,7
2025-05-20 22:00;0,86;7,4
2025-05-20 23:00;1,157;7,4
2025-05-21 00:00;1,073;7,1
2025-05-21 01:00;0,818;7,4
2025-05-21 02:00;0,768;7,3
2025-05-21 03:00;0,85;7,8
2025-05-21 04:00;1,039;7,3
2025-05-21 05:00;0,965;8,3
2025-05-21 06:00;0,643;7,6
2025-05-21 07:00;0,782;7,3
2025-05-21 08:00;0,699;7,2
2025-05-21 09:00;0,6;7,1
2025-05-21 10:00;0,777;6,8
2025-05-21 11:00;0,495;6,1
2025-05-21 12:00;0,678;6,3
2025-05-21 13:00;0,643;6,1
2025-05-21 14:00;0,561;5,5
2025-05-21 15:00;1,131;5,5
2025-05-21 16:00;1,209;5,7
2025-05-21 17:00;1,286;5,6
2025-05-21 18:00;1,02;5,7
2025-05-21 19:00;0,805;6
2025-05-21 20:00;1,092;6,2
2025-05-21 21:00;0,991;6,1
2025-05-21 22:00;0,949;5,8
2025-05-21 23:00;0,791;6
2025-05-22 00:00;0,793;6,1
2025-05-22 01:00;0,965;6,3
2025-05-22 02:00;0,942;6,2
2025-05-22 03:00;1,549;6,2
2025-05-22 04:00;0,631;6,3
2025-05-22 05:00;1,624;6,4
2025-05-22 06:00;0,96;6,5
2025-05-22 07:00;0,854;6,4
2025-05-22 08:00;0,753;6,3
2025-05-22 09:00;1,272;5,9
2025-05-22 10:00;1,7;5,9
2025-05-22 11:00;2,059;6,1
2025-05-22 12:00;1,714;6,2
2025-05-22 13:00;1,122;5,8
2025-05-22 14:00;1,166;5,8
2025-05-22 15:00;0,487;6,4
2025-05-22 16:00;0,648;6,7
2025-05-22 17:00;0,681;8
2025-05-22 18:00;0,527;7,7
2025-05-22 19:00;0,686;7,3
2025-05-22 20:00;0,768;6,7
2025-05-22 21:00;0,9;6,6
2025-05-22 22:00;1,326;6,4
2025-05-22 23:00;0,876;6,6
2025-05-23 00:00;4,009;6,6
2025-05-23 01:00;1,168;6,4
2025-05-23 02:00;1,115;6,5
2025-05-23 03:00;0,777;6,6
2025-05-23 04:00;1,009;6,4
2025-05-23 05:00;0,585;6,7
2025-05-23 06:00;0,722;6,8
2025-05-23 07:00;1,008;7,3
2025-05-23 08:00;0,755;7,7
2025-05-23 09:00;0,67;8,1
2025-05-23 10:00;0,551;8
2025-05-23 11:00;0,427;7,9
2025-05-23 12:00;0,547;8,2
2025-05-23 13:00;0,432;7,8
2025-05-23 14:00;0,599;7,4
2025-05-23 15:00;0,534;8,1
2025-05-23 16:00;0,417;7,8
2025-05-23 17:00;0,468;7,7
2025-05-23 18:00;0,515;8
2025-05-23 19:00;0,588;7,3
2025-05-23 20:00;0,811;7,2
2025-05-23 21:00;0,851;7,2
2025-05-23 22:00;0,798;7,1
2025-05-23 23:00;0,822;7,3
2025-05-24 00:00;0,886;7,5
2025-05-24 01:00;0,761;7,4
2025-05-24 02:00;0,819;7,3
2025-05-24 03:00;1,409;7,1
2025-05-24 04:00;1,196;6,9
2025-05-24 05:00;0,74;7,1
2025-05-24 06:00;0,668;7,3
2025-05-24 07:00;0,518;7,5
2025-05-24 08:00;0,616;7,8
2025-05-24 09:00;0,587;8
2025-05-24 10:00;0,444;8,5
2025-05-24 11:00;0,42;9
2025-05-24 12:00;0,462;8,9
2025-05-24 13:00;0,421;9,4
2025-05-24 14:00;0,595;9,7
2025-05-24 15:00;0,469;8,8
2025-05-24 16:00;0,433;9,8
2025-05-24 17:00;0,448;8,3
2025-05-24 18:00;0,421;9,3
2025-05-24 19:00;1,033;8
2025-05-24 20:00;0,582;7,9
2025-05-24 21:00;0,793;7,5
2025-05-24 22:00;0,702;7,4
2025-05-24 23:00;0,808;7,4
2025-05-25 00:00;1,277;6,9
2025-05-25 01:00;0,835;7
2025-05-25 02:00;0,907;6,9
2025-05-25 03:00;0,804;6,6
2025-05-25 04:00;0,781;6,6
2025-05-25 05:00;0,913;6,6
2025-05-25 06:00;0,689;6,7
2025-05-25 07:00;0,537;7,2
2025-05-25 08:00;0,625;7,6
2025-05-25 09:00;0,556;7,5
2025-05-25 10:00;0,714;8,1
2025-05-25 11:00;0,831;9,3
2025-05-25 12:00;0,439;9,6
2025-05-25 13:00;0,435;10
2025-05-25 14:00;0,427;10,1
2025-05-25 15:00;0,604;8,7
2025-05-25 16:00;0,428;8,7
2025-05-25 17:00;0,437;9
2025-05-25 18:00;0,441;8,9
2025-05-25 19:00;0,435;8,9
2025-05-25 20:00;0,872;9,1
2025-05-25 21:00;0,605;9
2025-05-25 22:00;0,514;8,9
2025-05-25 23:00;0,485;9,1
2025-05-26 00:00;0,683;8,7
2025-05-26 01:00;0,467;8,8
2025-05-26 02:00;0,443;8,7
2025-05-26 03:00;0,572;9,2
2025-05-26 04:00;0,605;9,3
2025-05-26 05:00;0,937;9,5
2025-05-26 06:00;0,724;8,6
2025-05-26 07:00;0,844;8,8
2025-05-26 08:00;0,657;8,8
2025-05-26 09:00;0,536;8,6
2025-05-26 10:00;0,647;8,6
2025-05-26 11:00;0,434;8,4
2025-05-26 12:00;0,514;8,6
2025-05-26 13:00;0,436;8,9
2025-05-26 14:00;0,432;9,1
2025-05-26 15:00;0,609;9,5
2025-05-26 16:00;0,42;9,8
2025-05-26 17:00;0,629;9,6
2025-05-26 18:00;0,666;9,8
2025-05-26 19:00;0,422;10,3
2025-05-26 20:00;0,764;10
2025-05-26 21:00;0,711;10,1
2025-05-26 22:00;0,54;9,7
2025-05-26 23:00;0,624;10,3
2025-05-27 00:00;0,516;9,7
2025-05-27 01:00;0,876;9,5
2025-05-27 02:00;0,671;10
2025-05-27 03:00;0,594;9,4
2025-05-27 04:00;0,788;9
2025-05-27 05:00;0,929;8,5
2025-05-27 06:00;0,601;9,2
2025-05-27 07:00;0,654;9,2
2025-05-27 08:00;0,582;9,8
2025-05-27 09:00;0,566;10,7
2025-05-27 10:00;0,972;11,2
2025-05-27 11:00;0,473;10,6
2025-05-27 12:00;0,423;10,7
2025-05-27 13:00;0,446;11,2
2025-05-27 14:00;0,437;11,3
2025-05-27 15:00;0,611;10,9
2025-05-27 16:00;0,433;10
2025-05-27 17:00;2,518;9,9
2025-05-27 18:00;6,735;9,5
2025-05-27 19:00;5,517;9,2
2025-05-27 20:00;5,054;9,4
2025-05-27 21:00;1,877;9,3
2025-05-27 22:00;1,366;9,9
2025-05-27 23:00;0,699;9,8
2025-05-28 00:00;0,54;9,6
2025-05-28 01:00;0,531;9,1
2025-05-28 02:00;0,558;8,7
2025-05-28 03:00;0,878;8,8
2025-05-28 04:00;0,529;8,8
2025-05-28 05:00;0,941;8,7
2025-05-28 06:00;0,987;8,8
2025-05-28 07:00;1,143;9
2025-05-28 08:00;1,339;9
2025-05-28 09:00;1,212;8,9
2025-05-28 10:00;1,363;8,7
2025-05-28 11:00;2,006;9,4
2025-05-28 12:00;0,444;9,3
2025-05-28 13:00;0,423;8,9
2025-05-28 14:00;0,457;10,2
2025-05-28 15:00;0,598;10,1
2025-05-28 16:00;0,459;10,4
2025-05-28 17:00;0,428;9,3
2025-05-28 18:00;0,438;9,4
2025-05-28 19:00;0,448;8,6
2025-05-28 20:00;0,79;8,5
2025-05-28 21:00;0,88;8,8
2025-05-28 22:00;0,545;8,2
2025-05-28 23:00;0,441;8
2025-05-29 00:00;0,462;8,3
2025-05-29 01:00;0,71;8,6
2025-05-29 02:00;0,458;8
2025-05-29 03:00;0,434;9,2
2025-05-29 04:00;0,412;8,7
2025-05-29 05:00;0,46;9,1
2025-05-29 06:00;0,721;8,5
2025-05-29 07:00;0,579;9,5
2025-05-29 08:00;0,633;10,5
2025-05-29 09:00;0,488;9,9
2025-05-29 10:00;0,432;10,8
2025-05-29 11:00;0,637;11,9
2025-05-29 12:00;0,423;12,3
2025-05-29 13:00;0,437;13
2025-05-29 14:00;0,843;13,7
2025-05-29 15:00;0,44;14,8
2025-05-29 16:00;0,596;15
2025-05-29 17:00;0,442;14
2025-05-29 18:00;0,442;13,5
2025-05-29 19:00;0,306;13,7
2025-05-29 20:00;0,45;13,1
2025-05-29 21:00;0,686;11,8
2025-05-29 22:00;0,426;11,3
2025-05-29 23:00;0,322;10,5
2025-05-30 00:00;0,357;9,6
2025-05-30 01:00;0,319;9,6
2025-05-30 02:00;0,714;9,5
2025-05-30 03:00;0,71;10,2
2025-05-30 04:00;0,555;10,9
2025-05-30 05:00;0,61;11
2025-05-30 06:00;0,478;11
2025-05-30 07:00;0,853;10,9
2025-05-30 08:00;0,968;12
2025-05-30 09:00;0,568;12,2
2025-05-30 10:00;0,439;11,5
2025-05-30 11:00;0,438;11,6
2025-05-30 12:00;0,591;11,3
2025-05-30 13:00;0,452;11
2025-05-30 14:00;0,427;10,6
2025-05-30 15:00;0,436;9,7
2025-05-30 16:00;0,447;9,5
2025-05-30 17:00;0,579;10,3
2025-05-30 18:00;0,462;10,4
2025-05-30 19:00;0,44;10,2
2025-05-30 20:00;0,56;10,3
2025-05-30 21:00;0,61;11
2025-05-30 22:00;0,694;11,1
2025-05-30 23:00;0,553;12,2
2025-05-31 00:00;0,475;11,7
2025-05-31 01:00;0,803;11,6
2025-05-31 02:00;0,535;11,1
2025-05-31 03:00;0,606;10,2
2025-05-31 04:00;0,508;9,2
2025-05-31 05:00;0,548;9,6
2025-05-31 06:00;0,409;8,9
2025-05-31 07:00;0,574;8,6
2025-05-31 08:00;0,607;8,8
2025-05-31 09:00;0,455;9,5
2025-05-31 10:00;0,427;10,4
2025-05-31 11:00;0,562;9,7
