Avläst elanvändning per timme;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;
;;
Anläggningsadress:;Nybyn Björkö;
AnläggningsID:;UPO735999100000376429;
;;
Tidsperiod:;1 maj 2025 - 31 maj 2025;
;;
;;
1 maj 2025 - 31 maj 2025;kWh;Temperatur 2025 maj - 2025 maj (°C)
2025-05-01 00:00;1,256;1,9
2025-05-01 01:00;1,459;1,7
2025-05-01 02:00;1,385;1,9
2025-05-01 03:00;0,993;2,9
2025-05-01 04:00;2,013;3,9
2025-05-01 05:00;0,88;3,5
2025-05-01 06:00;1,317;3,4
2025-05-01 07:00;1,665;4
2025-05-01 08:00;1,197;4,4
2025-05-01 09:00;1,738;4,6
2025-05-01 10:00;0,683;5,3
2025-05-01 11:00;0,687;5,8
2025-05-01 12:00;0,52;6
2025-05-01 13:00;0,432;6,3
2025-05-01 14:00;0,873;6,3
2025-05-01 15:00;0,542;6,5
2025-05-01 16:00;0,452;6,3
2025-05-01 17:00;0,589;6,4
2025-05-01 18:00;0,511;6,6
2025-05-01 19:00;0,898;6,2
2025-05-01 20:00;0,808;6
2025-05-01 21:00;1,358;6,1
2025-05-01 22:00;1,144;6,2
2025-05-01 23:00;1,049;6,3
2025-05-02 00:00;1,131;6,1
2025-05-02 01:00;1,081;6
2025-05-02 02:00;1,159;6
2025-05-02 03:00;1,367;5,9
2025-05-02 04:00;1,503;5,8
2025-05-02 05:00;1,064;6,2
2025-05-02 06:00;1,318;6,5
2025-05-02 07:00;0,788;6,7
2025-05-02 08:00;0,599;7
2025-05-02 09:00;0,52;7,1
2025-05-02 10:00;0,545;7,1
2025-05-02 11:00;0,427;7,6
2025-05-02 12:00;0,444;8,4
2025-05-02 13:00;0,514;8
2025-05-02 14:00;0,466;9,1
2025-05-02 15:00;0,565;8,8
2025-05-02 16:00;0,421;9
2025-05-02 17:00;0,668;9,6
2025-05-02 18:00;0,552;9,4
2025-05-02 19:00;0,633;8,4
