Avläst elanvändning per timme;;;;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;;;;
;;;;;
Anläggningsadress:;Nybyn Björkö;;;;
AnläggningsID:;UPO735999100000376429;;;;
;;;;;
Tidsperiod:;1 februari 2026 - 27 februari 2026;;;;
Jämförelseperiod:;1 februari 2025 - 27 februari 2025;;;;
;;;;;
1 februari 2026 - 27 februari 2026;kWh;1 februari 2025 - 27 februari 2025;kWh;Temperatur 2026 februari - 2026 februari (°C);Temperatur 2025 februari - 2025 februari (°C)
2026-02-04 02:00;3,195;2025-02-04 02:00;3,767;−4,3;−1,8
2026-02-04 03:00;4,424;2025-02-04 03:00;4,426;−4,3;−1,9
2026-02-04 04:00;4,611;2025-02-04 04:00;3,087;−4,3;−1,8
2026-02-04 05:00;3,351;2025-02-04 05:00;0,827;−4,3;−1,8
2026-02-04 06:00;3,508;2025-02-04 06:00;2,336;−4,5;−2,2
2026-02-04 07:00;10,951;2025-02-04 07:00;2,656;−4,4;−1,9
2026-02-04 08:00;8,486;2025-02-04 08:00;4,076;−4,3;−1,4
2026-02-04 09:00;6,99;2025-02-04 09:00;2,798;−4,7;−0,9
2026-02-04 10:00;3,771;2025-02-04 10:00;3,512;−4,6;−0,4
2026-02-04 11:00;5,227;2025-02-04 11:00;1,265;−4,4;0,2
2026-02-04 12:00;3,101;2025-02-04 12:00;1,04;−4,3;0,6
2026-02-04 13:00;2,764;2025-02-04 13:00;1,13;−4;1,1
2026-02-04 14:00;1,742;2025-02-04 14:00;1,935;−4,3;1,4
2026-02-04 15:00;2,908;2025-02-04 15:00;2,394;−4,6;1,5
2026-02-04 16:00;3,592;2025-02-04 16:00;2,764;−4,9;1,7
2026-02-04 17:00;3,608;2025-02-04 17:00;1,236;−4,8;1,9
2026-02-04 18:00;4,966;2025-02-04 18:00;1,769;−5;2,1
2026-02-04 19:00;2,796;2025-02-04 19:00;2,533;−5,1;2,2
2026-02-04 20:00;1,715;2025-02-04 20:00;1,949;−5,1;2,1
2026-02-04 21:00;2,959;2025-02-04 21:00;1,535;−5,1;2
2026-02-04 22:00;3,318;2025-02-04 22:00;2,973;−5,2;1,9
2026-02-04 23:00;2,892;2025-02-04 23:00;3,204;−5,4;2,1
2026-02-05 00:00;4,957;2025-02-05 00:00;1,943;−4,8;2,1
2026-02-05 01:00;2,703;2025-02-05 01:00;1,191;−4,4;2,3
2026-02-05 02:00;0,94;2025-02-05 02:00;1,014;−4,2;2,4
2026-02-05 03:00;2,455;2025-02-05 03:00;1,572;−4,6;2,3
2026-02-05 04:00;3,445;2025-02-05 04:00;2,613;−5;2,4
2026-02-05 05:00;4,804;2025-02-05 05:00;2,068;−4,9;2,4
2026-02-05 06:00;4,083;2025-02-05 06:00;1,307;−5,2;2,7
2026-02-05 07:00;5,554;2025-02-05 07:00;0,97;−5,1;2,7
2026-02-05 08:00;4,503;2025-02-05 08:00;1,805;−4,9;2,8
2026-02-05 09:00;2,044;2025-02-05 09:00;2,625;−4,9;2,6
2026-02-05 10:00;2,146;2025-02-05 10:00;1,775;−4,9;2,6
2026-02-05 11:00;3,151;2025-02-05 11:00;2,177;−4,4;2,7
2026-02-05 12:00;3,675;2025-02-05 12:00;1,222;−4,4;2,6
2026-02-05 13:00;5,53;2025-02-05 13:00;1,156;−4,5;3,1
2026-02-05 14:00;9,404;2025-02-05 14:00;1,309;−4,8;3,1
2026-02-05 15:00;6,113;2025-02-05 15:00;1,346;−4,4;3,2
2026-02-05 16:00;6,518;2025-02-05 16:00;1,766;−5;2,6
2026-02-05 17:00;6,815;2025-02-05 17:00;1,574;−5,1;3
2026-02-05 18:00;5,653;2025-02-05 18:00;1,561;−5,7;3,8
2026-02-05 19:00;5,89;2025-02-05 19:00;1,383;−6,1;3,7
2026-02-05 20:00;6,314;2025-02-05 20:00;1,423;−6,5;2,9
2026-02-05 21:00;5,978;2025-02-05 21:00;0,934;−6,2;3,7
2026-02-05 22:00;7,485;2025-02-05 22:00;1,634;−6,2;3,3
2026-02-05 23:00;4,352;2025-02-05 23:00;1,089;−6,5;2,9
2026-02-06 00:00;1,423;2025-02-06 00:00;2,205;−6,4;2,4
2026-02-06 01:00;1,626;2025-02-06 01:00;3,965;−7;2,2
2026-02-06 02:00;3,246;2025-02-06 02:00;2,274;−7,5;2,6
2026-02-06 03:00;3,71;2025-02-06 03:00;3,426;−7,7;2,2
2026-02-06 04:00;3,607;2025-02-06 04:00;1,757;−8,3;2,4
2026-02-06 05:00;5,445;2025-02-06 05:00;2,961;−8,3;2
2026-02-06 06:00;6,946;2025-02-06 06:00;2,651;−8,6;1,9
2026-02-06 07:00;3,982;2025-02-06 07:00;2,534;−9;1,8
2026-02-06 08:00;4,079;2025-02-06 08:00;3,777;−9,9;1,9
2026-02-06 09:00;5,847;2025-02-06 09:00;1,452;−10,3;1,8
2026-02-06 10:00;4,868;2025-02-06 10:00;1,11;−9,8;1,7
2026-02-06 11:00;5,155;2025-02-06 11:00;2,467;−9,3;1,9
2026-02-06 12:00;6,653;2025-02-06 12:00;1,735;−8,2;2,2
2026-02-06 13:00;7,96;2025-02-06 13:00;2,439;−7,4;2,2
2026-02-06 14:00;4,846;2025-02-06 14:00;2,597;−6,3;2,1
2026-02-06 15:00;8,672;2025-02-06 15:00;2,04;−6,1;1,9
2026-02-06 16:00;4,711;2025-02-06 16:00;3,075;−6,1;1,9
2026-02-06 17:00;2,898;2025-02-06 17:00;2,638;−6,2;1,7
2026-02-06 18:00;2,807;2025-02-06 18:00;3,264;−5,9;1,6
2026-02-06 19:00;3,329;2025-02-06 19:00;2,378;;1,2
2026-02-06 20:00;1,278;2025-02-06 20:00;3,412;;1
2026-02-06 21:00;2,443;2025-02-06 21:00;4,553;;0,9
2026-02-06 22:00;2,228;2025-02-06 22:00;3,442;;1,1
2026-02-06 23:00;3,17;2025-02-06 23:00;3,904;;0,9
2026-02-07 00:00;2,662;2025-02-07 00:00;3,632;;0,9
2026-02-07 01:00;0,901;2025-02-07 01:00;4,715;;0,9
2026-02-07 02:00;2,385;2025-02-07 02:00;3,384;;0,7
2026-02-07 03:00;2,199;2025-02-07 03:00;4,72;;0,5
2026-02-07 04:00;4,094;2025-02-07 04:00;1,706;;0,3
2026-02-07 05:00;3,938;2025-02-07 05:00;3,49;;−0,2
2026-02-07 06:00;2,147;2025-02-07 06:00;2,853;;0
2026-02-07 07:00;0,934;2025-02-07 07:00;3,243;;0
2026-02-07 08:00;2,467;2025-02-07 08:00;1,829;;0,7
2026-02-07 09:00;2,821;2025-02-07 09:00;0,989;;1,1
2026-02-07 10:00;4,337;2025-02-07 10:00;2,28;;1,8
2026-02-07 11:00;4,053;2025-02-07 11:00;1,151;;2,1
2026-02-07 12:00;2,076;2025-02-07 12:00;2,21;;2,2
2026-02-07 13:00;0,886;2025-02-07 13:00;1,028;;2,4
2026-02-07 14:00;2,301;2025-02-07 14:00;1,225;;2
2026-02-07 15:00;3,04;2025-02-07 15:00;1,52;;1,5
2026-02-07 16:00;2,677;2025-02-07 16:00;2,136;;1,5
2026-02-07 17:00;4,927;2025-02-07 17:00;2,071;;1,5
2026-02-07 18:00;5,131;2025-02-07 18:00;3,109;;1,7
2026-02-07 19:00;2,948;2025-02-07 19:00;2,257;;1,5
2026-02-07 20:00;4,256;2025-02-07 20:00;1,995;;1,3
2026-02-07 21:00;2,675;2025-02-07 21:00;2,395;;0,8
2026-02-07 22:00;4,497;2025-02-07 22:00;3,049;;0,6
2026-02-07 23:00;3,718;2025-02-07 23:00;3,472;;0,7
2026-02-08 00:00;2,984;2025-02-08 00:00;3,046;;0,9
2026-02-08 01:00;4,785;2025-02-08 01:00;2,636;;0,8
2026-02-08 02:00;4,374;2025-02-08 02:00;1,33;;0,8
2026-02-08 03:00;3,432;2025-02-08 03:00;1,391;;0,9
2026-02-08 04:00;4,626;2025-02-08 04:00;2,12;;1,2
2026-02-08 05:00;4,713;2025-02-08 05:00;3,121;;1,4
2026-02-08 06:00;5,62;2025-02-08 06:00;2,274;;1,6
2026-02-08 07:00;3,835;2025-02-08 07:00;1,473;;1,4
2026-02-08 08:00;2,414;2025-02-08 08:00;0,728;;1,1
2026-02-08 09:00;3,697;2025-02-08 09:00;2,331;;0,9
2026-02-08 10:00;4,925;2025-02-08 10:00;1,893;;0,9
2026-02-08 11:00;4,379;2025-02-08 11:00;3,276;;0,9
2026-02-08 12:00;2,874;2025-02-08 12:00;3,016;;0,9
2026-02-08 13:00;4,021;2025-02-08 13:00;3,364;;0,9
2026-02-08 14:00;2,578;2025-02-08 14:00;1,987;;0,9
2026-02-08 15:00;1,092;2025-02-08 15:00;2,599;;0,9
2026-02-08 16:00;2,507;2025-02-08 16:00;1,317;;0,9
2026-02-08 17:00;3,491;2025-02-08 17:00;2,329;;0,9
2026-02-08 18:00;3,625;2025-02-08 18:00;3,362;;0,7
2026-02-08 19:00;5,232;2025-02-08 19:00;2,498;;0,4
2026-02-08 20:00;5,66;2025-02-08 20:00;1,578;;0,5
2026-02-08 21:00;5,177;2025-02-08 21:00;3,009;;0,6
2026-02-08 22:00;4,658;2025-02-08 22:00;3,147;;0,6
2026-02-08 23:00;6,427;2025-02-08 23:00;3,575;;0,7
2026-02-09 00:00;5,592;2025-02-09 00:00;1,603;;0,7
2026-02-09 01:00;4,71;2025-02-09 01:00;3,436;;0,6
2026-02-09 02:00;6,49;2025-02-09 02:00;1,99;;0,5
2026-02-09 03:00;6,111;2025-02-09 03:00;3,692;;0,7
2026-02-09 04:00;6,72;2025-02-09 04:00;4,327;;0,7
2026-02-09 05:00;4,616;2025-02-09 05:00;1,621;;0,8
2026-02-09 06:00;4,008;2025-02-09 06:00;1,163;;0,9
2026-02-09 07:00;3,587;2025-02-09 07:00;1,708;;1
2026-02-09 08:00;5,951;2025-02-09 08:00;3,082;;1
2026-02-09 09:00;5,187;2025-02-09 09:00;2,976;−6;1
2026-02-09 10:00;3,277;2025-02-09 10:00;2,299;−5,4;1,2
2026-02-09 11:00;1,869;2025-02-09 11:00;2,269;−5,3;1,2
2026-02-09 12:00;4,239;2025-02-09 12:00;1,144;−5,6;1,3
2026-02-09 13:00;3,053;2025-02-09 13:00;2,188;−5,5;1,3
2026-02-09 14:00;4,428;2025-02-09 14:00;3,076;−5,2;0,2
2026-02-09 15:00;4,479;2025-02-09 15:00;2,428;−5,5;0,5
2026-02-09 16:00;3,994;2025-02-09 16:00;3,685;−5,6;0,4
