Avläst elanvändning per timme;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;
;;
Anläggningsadress:;Nybyn Björkö;
AnläggningsID:;UPO735999100000376429;
;;
Tidsperiod:;1 juni 2025 - 30 juni 2025;
;;
;;
1 juni 2025 - 30 juni 2025;kWh;Temperatur 2025 juni - 2025 juni (°C)
2025-06-01 00:00;0,95;9,1
2025-06-01 01:00;0,92;9,2
2025-06-01 02:00;0,809;9
2025-06-01 03:00;0,92;8,9
2025-06-01 04:00;0,861;9
2025-06-01 05:00;0,726;9,2
2025-06-01 06:00;0,532;9,5
2025-06-01 07:00;0,448;10,4
2025-06-01 08:00;0,579;11,8
2025-06-01 09:00;0,458;12,4
2025-06-01 10:00;0,606;12,1
2025-06-01 11:00;0,679;11,6
2025-06-01 12:00;0,477;12,5
2025-06-01 13:00;0,564;12,9
2025-06-01 14:00;0,489;12,7
2025-06-01 15:00;0,43;13,4
2025-06-01 16:00;0,455;13,2
2025-06-01 17:00;0,455;11,3
2025-06-01 18:00;0,606;9,1
2025-06-01 19:00;0,463;9,1
2025-06-01 20:00;0,528;9,9
2025-06-01 21:00;0,627;9,8
2025-06-01 22:00;0,574;9,7
2025-06-01 23:00;0,617;10,2
2025-06-02 00:00;0,457;10,6
2025-06-02 01:00;0,478;10,2
2025-06-02 02:00;0,441;10,4
2025-06-02 03:00;0,448;9,8
2025-06-02 04:00;0,611;10
2025-06-02 05:00;0,8;10,1
2025-06-02 06:00;0,485;10
2025-06-02 07:00;0,61;10,3
2025-06-02 08:00;0,61;11
2025-06-02 09:00;0,702;11,8
2025-06-02 10:00;0,424;12,9
2025-06-02 11:00;0,473;13,9
2025-06-02 12:00;0,406;14,3
2025-06-02 13:00;0,327;15,3
2025-06-02 14:00;0,528;14,9
2025-06-02 15:00;0,31;16,2
2025-06-02 16:00;0,353;15,5
2025-06-02 17:00;0,321;15,8
2025-06-02 18:00;0,332;13,9
2025-06-02 19:00;0,492;12,1
