Avläst elanvändning per timme;;
Informationen tillhandahålls av din nätägare: Vattenfall Eldistribution AB;;
;;
Anläggningsadress:;Nybyn Björkö;
AnläggningsID:;UPO735999100000376429;
;;
Tidsperiod:;1 oktober 2025 - 31 oktober 2025;
;;
;;
1 oktober 2025 - 31 oktober 2025;kWh;Temperatur 2025 oktober - 2025 oktober (°C)
2025-10-01 00:00;1,883;
2025-10-01 01:00;1,594;
2025-10-01 02:00;1,262;
2025-10-01 03:00;1,635;
2025-10-01 04:00;1,109;
2025-10-01 05:00;1,904;
2025-10-01 06:00;1,983;
2025-10-01 07:00;1,201;
2025-10-01 08:00;1,828;
2025-10-01 09:00;0,756;
2025-10-01 10:00;0,425;11,6
2025-10-01 11:00;0,542;12
2025-10-01 12:00;0,568;12,1
2025-10-01 13:00;0,51;12,1
2025-10-01 14:00;0,443;12
2025-10-01 15:00;0,413;12,2
2025-10-01 16:00;0,706;11,9
2025-10-01 17:00;0,735;11,7
2025-10-01 18:00;0,648;11,8
2025-10-01 19:00;0,758;11,8
2025-10-01 20:00;0,874;11,4
2025-10-01 21:00;1,243;11,8
2025-10-01 22:00;1,473;11,5
2025-10-01 23:00;1,619;11,7
2025-10-02 00:00;1,224;11,7
2025-10-02 01:00;0,798;11,5
2025-10-02 02:00;1,412;11,1
2025-10-02 03:00;1,643;10,9
2025-10-02 04:00;1,595;10,6
2025-10-02 05:00;1,927;10,5
2025-10-02 06:00;2,047;10,6
2025-10-02 07:00;2,083;10,7
2025-10-02 08:00;1,283;10,7
2025-10-02 09:00;0,833;11,4
2025-10-02 10:00;0,447;11,4
2025-10-02 11:00;0,644;13
2025-10-02 12:00;0,433;12,3
2025-10-02 13:00;0,546;12,5
2025-10-02 14:00;0,419;12,9
2025-10-02 15:00;0,642;12,5
2025-10-02 16:00;0,903;12,5
2025-10-02 17:00;0,61;12
2025-10-02 18:00;0,605;11,5
2025-10-02 19:00;0,777;11,2
2025-10-02 20:00;1,004;11,1
